,,,,,,,,,,,,
,,,,,,,,,,www.binance.com,,
,Deposit History,,,,,,,,,,,
,,,,,,,,,,,,
,Name,GS,,Email,test@gmail.com,,Address,"test address, test country",,,,
,User ID,100000000,,Period(UTC+5),2023-03-31 to 2024-03-31,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Time,Coin,,Network,,Amount,,Address,TXID,Status,,
,2024-03-08 12:48:31,USDT,,ETH,,300,,0x34d49588eb5732a31079b95ac35f9249b4c8da0f,0xa39eaa84f5ae0cb57b9a221035b3ffb4a7f88aabb11fd1ed061c304488ac9ecb,Completed,,
,2024-03-03 12:38:32,USDC,,ETH,,461.171088,,0x34d49588eb5732a31079b95ac35f9249b4c8da0f,0x8afcfe42351513b927628a260587da6611fa85c101b5bb7155bbeeeb55d81458,Completed,,
,2024-02-25 15:50:02,BTC,,BTC,,0.05,,bc1qexampleaddress,0x7f8daa1975b3f487abb32e611248a9057db7286550146c948501ba215650f2a3,Completed,,
